Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0825150681288514,-1.26961287633121E-06,-0.0625248801734693,0,0,0,0.908617772507298,0.00125334372703637,4.5377019288171E-08,1.4693857229775E-05,0.00191127647458126,4.01250594897109E-09,0.00148224888570072,0,0,0,0,0,0,package://jp0721/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://jp0721/meshes/base_link.STL,,board-1;body(R)_cover_22-1;body(L)_cover_22-1;body(L)_22-1;body(R)_22-1;encoder+dc motor-1;encoder+dc motor-2;v4_gear4-2;v4_gear4-1;39gear-2;39gear-1;39gear2-1;39gear2-2;v4_gear3_22-2;v4_gear3_22-1;v4_gear1-1;v4_gear1-2;encoder-2;encoder-1;v4_gear1_22-1;v4_gear1_22-2,origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_cam_link,0.00764151581949032,0.0102416228422385,0.00633684995597522,0,0,0,0.0305719559896349,5.85643000879998E-06,-6.80455793104055E-07,-3.83166777733683E-08,1.69441039360323E-05,-5.10742835221565E-08,2.19377166690398E-05,0,0,0,0,0,0,package://jp0721/meshes/L_cam_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://jp0721/meshes/L_cam_link.STL,,cam ver.4_L-1,L_cam,L_cam_joint,L_cam_j,revolute,0.1066,0.0575,-0.10105,1.5708,-0.11771,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
R_cam_link,0.00764151571778698,0.0102416229181905,-0.00633667575256724,0,0,0,0.0305719559896348,5.85630719020196E-06,-6.8101903154658E-07,3.81186904209616E-08,1.69432935249714E-05,5.11137140207275E-08,2.19368248352234E-05,0,0,0,0,0,0,package://jp0721/meshes/R_cam_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://jp0721/meshes/R_cam_link.STL,,cam ver.4_R-1,R_cam,R_cam_joint,R_cam_j,revolute,0.1066,-0.0575,-0.10105,1.5708,-0.11771,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
L_leg3_link,0.0873324965817253,0.0110677958699352,0.0200000000000002,0,0,0,0.0987705837921801,1.18250822598191E-05,-7.93031983110537E-06,-2.85912269937039E-20,0.00020074313006863,-6.52963822728711E-22,0.000205071197874886,0,0,0,0,0,0,package://jp0721/meshes/L_leg3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/L_leg3_link.STL,,spring fix(up)-1;leg2-1;leg2-2,L_leg3,L_leg3_joint,L_leg3_j,revolute,0.02,0.044,-0.097875,1.5708,0.96228,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_leg13_link,-0.0522667236666958,5.68295410730002E-15,0.0422856505225773,0,0,0,0.2641287819222,8.07606610309246E-05,3.35237240040985E-18,-3.78275280217768E-06,0.000771573835287757,6.89192874747816E-20,0.000775155606049069,0,0,0,0,0,0,package://jp0721/meshes/L_leg13_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/L_leg13_link.STL,,leg1-2;leg1(1)-3;wheel_motor-2,L_leg1,L_leg13_joint,L_leg13_j,revolute,0.19362,-0.16844,-0.024,0,0,-1.3174,L_leg3_link,0,0,-1,0,0,0,0,,,,,,,,
R_leg3_link,0.0873324965816861,-0.0110677958700172,0.02,0,0,0,0.0987705837921801,1.18250822598668E-05,7.93031983167288E-06,-1.88585553300237E-19,0.000200743130068583,1.26152383250589E-20,0.000205071197874887,0,0,0,0,0,0,package://jp0721/meshes/R_leg3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/R_leg3_link.STL,,spring fix(up)-2;leg2-4;leg2-3,R_leg3,R_leg3_joint,R_leg3_j,revolute,0.02,-0.044,-0.097875,-1.5708,0.96228,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
R_leg13_link,-0.0522667236666051,-6.15167639050895E-14,-0.0422856505225778,0,0,0,0.264128781922199,8.07606610309193E-05,3.76989521640772E-17,3.78275280217763E-06,0.000771573835287757,-1.04875497522522E-19,0.000775155606049064,0,0,0,0,0,0,package://jp0721/meshes/R_leg13_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/R_leg13_link.STL,,leg1-1;leg1(1)-1;wheel_motor-1,R_leg1,R_leg13_joint,R_leg13_j,revolute,0.19362,0.16844,-0.024,3.1416,0,1.3174,R_leg3_link,0,0,1,0,0,0,0,,,,,,,,
L_leg2_link,0.0515860704389703,0.0121605401195312,-0.02,0,0,0,0.167812072864465,2.97990665719628E-05,1.83054843130183E-05,-3.88512566850253E-20,0.000213413033338274,3.04116562808805E-21,0.000231043613834266,0,0,0,0,0,0,package://jp0721/meshes/L_leg2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/L_leg2_link.STL,,leg6-6;v4_leg4 _L-2;v4_leg4 _R-2;leg6-2;spring fix(up)-4;6pi 40mm pole-2,L_leg2,L_leg2_joint,L_leg2_j,revolute,0.057125,0.044,-0.135,-1.5708,0.81076,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_leg12_link,-0.0522667236666959,5.71070968291565E-15,0.0422856505225773,0,0,0,0.2641287819222,8.07606610309247E-05,3.41335877261216E-18,-3.78275280217769E-06,0.000771573835287757,7.27309357374259E-20,0.000775155606049069,0,0,0,0,0,0,package://jp0721/meshes/L_leg12_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0721/meshes/L_leg12_link.STL,,leg1(1)-3;leg1-2;wheel_motor-2,L_leg1,L_leg12_joint,L_leg12_j,revolute,0.16464,0.14325,0.024,3.1416,0,1.4689,L_leg2_link,0,0,-1,0,0,0,0,,,,,,,,
L_wheel_link,1.33226762955019E-15,1.19348975147204E-14,-0.0130142409513504,0,0,0,0.160038795838917,0.000111683206400885,1.31804461139968E-20,6.56991792479027E-20,0.000111683206400885,-3.9428184617788E-20,0.000190736255302453,0,0,0,0,0,0,package://jp0721/meshes/L_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://jp0721/meshes/L_wheel_link.STL,,wheel-2,L_wheel,L_leg1_joint,L_wheel_j,revolute,0.006,0,0.121,0,0,2.2797,L_leg12_link,0,0,-1,0,0,0,0,,,,,,,,
